query,num_relevant,num_retrieved,precision@1,recall@1,mrr@1,precision@3,recall@3,mrr@3,precision@5,recall@5,mrr@5
What is the paid time off policy?,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do I request vacation?,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the remote work policy?,2,5,1.0,0.5,1.0,1.0,1.5,1.0,1.0,2.5,1.0
What are the health insurance benefits?,2,4,0.0,0.0,0.0,0.667,1.0,0.5,0.75,1.5,0.5
How to file an expense report?,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the code of conduct?,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How does performance review work?,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the parental leave policy?,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
